time,center_x,center_y,t1,m1_x,m1_y,t2,m2_x,m2_y
1.68,1878.4,937.6,-2.9636390881799928,1798.4,492.8,0.7459449623004086,2032.0,745.6
1.71,1878.4,937.6,-2.9244813388548883,1782.4,502.4,0.2730087030867103,1872.0,822.4
1.74,1878.4,937.6,-2.865265378614728,1756.8,508.8,-0.27193842165449583,1664.0,841.6
1.77,1878.4,937.6,-2.7624339845563513,1715.2,528.0,-0.7234087222029286,1497.6,774.4
1.8,1878.4,937.6,-2.6073231372831325,1651.2,553.6,-1.048145554000058,1356.8,723.2
1.83,1878.4,937.6,-2.3864882501111198,1571.2,611.2,-1.3235345626121364,1241.6,694.4
1.86,1878.4,937.6,-2.086345334253876,1494.4,720.0,-1.6468398860740137,1158.4,694.4
1.89,1878.4,937.6,-1.6916333059519688,1430.4,883.2,-1.9047413986397908,1116.8,774.4
1.92,1878.4,937.6,-1.2087089191011684,1456.0,1097.6,-2.175101833661126,1187.2,912.0
1.95,1878.4,937.6,-0.6362548588133875,1616.0,1292.8,-1.9974238199217729,1299.2,1148.8
1.98,1878.4,937.6,-0.05790620524810756,1852.8,1379.2,-1.3510996320536262,1523.2,1452.8
